Âge,Années d'expérience,Revenu annuel (DH),Sexe,Niveau d'éducation,État matrimonial,Urbain/Rural,Catégorie socioprofessionnelle,Possession de biens,Région,Type de contrat,Langue maternelle
67.0,49.0,23621.0,Homme,supérieur,marié,Rural,Groupe 4,Logement,Souss-Massa,CDD,arab
59.0,21.0,7523.0,Femme,sans niveau,marié,Rural,Groupe 6,Terrain,Casablanca-Settat,CDI,arab
43.0,15.0,42705.0,Homme,secondaire,célibataire,Urbain,Groupe 2,Logement,Rabat-Salé-Kénitra,sans contrat,arab
38.0,8.0,4805.0,Homme,fondamental,marié,Rural,Groupe 6,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
53.0,19.0,23352.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab
18.0,30.0,11397.0,Homme,fondamental,célibataire,Rural,Groupe 5,Terrain,Souss-Massa,sans contrat,arab
21.0,47.0,16591.0,Homme,fondamental,marié,Rural,Groupe 4,Aucun,Guelmim-Oued Noun,sans contrat,arab
21.0,9.0,15305.0,Homme,sans niveau,marié,Urbain,Groupe 4,Logement,Souss-Massa,sans contrat,arab
43.0,19.0,47954.0,Homme,fondamental,célibataire,Urbain,Groupe 1,Logement,Guelmim-Oued Noun,CDI,arab
21.0,25.0,10754.0,Homme,fondamental,célibataire,Rural,Groupe 5,Logement,Souss-Massa,sans contrat,amazigh
66.0,26.0,8321.0,Femme,sans niveau,marié,Rural,Groupe 6,Logement,Marrakech-Safi,sans contrat,arab
26.0,23.0,18620.0,Homme,fondamental,marié,Urbain,Groupe 4,Voiture,Drâa-Tafilalet,sans contrat,arab
47.0,12.0,18268.0,Homme,secondaire,marié,Urbain,Groupe 5,Logement,Dakhla-Oued Ed-Dahab,sans contrat,arab
68.0,25.0,30766.0,Homme,sans niveau,célibataire,Urbain,Groupe 3,Voiture,Guelmim-Oued Noun,CDD,arab
62.0,47.0,19548.0,Femme,fondamental,marié,Urbain,Groupe 5,Aucun,Guelmim-Oued Noun,sans contrat,amazigh
21.0,29.0,31823.0,Homme,secondaire,marié,Rural,Groupe 2,Voiture,Drâa-Tafilalet,CDD,arab
22.0,46.0,11969.0,Femme,secondaire,célibataire,Rural,Groupe 6,Logement,L’Oriental,CDI,arab
62.0,9.0,6101.0,Homme,sans niveau,célibataire,Rural,Groupe 6,Voiture,Casablanca-Settat,CDD,arab
40.0,16.0,8040.0,Homme,secondaire,marié,Rural,Groupe 6,Voiture,Fès-Meknès,sans contrat,arab
33.0,20.0,12371.0,Homme,secondaire,veuf,Rural,Groupe 4,Terrain,Marrakech-Safi,CDD,arab
39.0,34.0,27102.0,Homme,fondamental,marié,Rural,Groupe 2,Terrain,Casablanca-Settat,sans contrat,arab
54.0,47.0,19604.0,Femme,fondamental,marié,Rural,Groupe 4,Voiture,Rabat-Salé-Kénitra,CDI,arab
25.0,49.0,19863.0,Femme,sans niveau,marié,Urbain,Groupe 5,Aucun,Fès-Meknès,CDD,arab
65.0,21.0,16841.0,Homme,sans niveau,veuf,Urbain,Groupe 5,Terrain,Laâyoune-Sakia El Hamra,sans contrat,arab
50.0,0.0,12359.0,Homme,fondamental,marié,Urbain,Groupe 5,Voiture,L’Oriental,sans contrat,arab
55.0,35.0,35109.0,Homme,sans niveau,célibataire,Rural,Groupe 2,Voiture,Rabat-Salé-Kénitra,CDD,arab
60.0,4.0,40129.0,Homme,fondamental,marié,Urbain,Groupe 1,Terrain,L’Oriental,sans contrat,arab
33.0,6.0,12996.0,Femme,sans niveau,marié,Urbain,Groupe 4,Terrain,Guelmim-Oued Noun,CDD,amazigh
22.0,35.0,12419.0,Homme,sans niveau,célibataire,Rural,Groupe 5,Aucun,Laâyoune-Sakia El Hamra,CDI,arab
33.0,24.0,13232.0,Femme,fondamental,célibataire,Rural,Groupe 3,Aucun,Souss-Massa,sans contrat,amazigh
24.0,49.0,17467.0,Femme,secondaire,veuf,Rural,Groupe 5,Logement,Marrakech-Safi,CDD,arab
68.0,40.0,19086.0,Femme,sans niveau,marié,Urbain,Groupe 5,Aucun,Béni Mellal-Khénifra,CDD,arab
18.0,14.0,19215.0,Homme,fondamental,marié,Urbain,Groupe 3,Logement,Béni Mellal-Khénifra,CDI,arab
26.0,44.0,14358.0,Homme,sans niveau,marié,Rural,Groupe 5,Aucun,Fès-Meknès,CDI,arab
35.0,38.0,42251.0,Femme,sans niveau,célibataire,Rural,Groupe 1,Logement,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
62.0,43.0,32960.0,Femme,supérieur,marié,Urbain,Groupe 4,Terrain,Laâyoune-Sakia El Hamra,CDD,amazigh
64.0,21.0,19923.0,Femme,fondamental,marié,Urbain,Groupe 3,Aucun,Béni Mellal-Khénifra,CDD,amazigh
20.0,3.0,11425.0,Homme,sans niveau,veuf,Urbain,Groupe 5,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
41.0,33.0,13603.0,Homme,fondamental,célibataire,Rural,Groupe 4,Aucun,Marrakech-Safi,CDI,arab
45.0,41.0,15897.0,Femme,sans niveau,célibataire,Rural,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
27.0,36.0,18950.0,Homme,supérieur,marié,Rural,Groupe 4,Logement,Dakhla-Oued Ed-Dahab,CDD,amazigh
26.0,7.0,12918.0,Homme,sans niveau,marié,Urbain,Groupe 5,Logement,Casablanca-Settat,CDD,arab
30.0,31.0,62594.0,Homme,secondaire,marié,Urbain,Groupe 1,Logement,Marrakech-Safi,CDD,arab
65.0,13.0,11684.0,Femme,sans niveau,célibataire,Rural,Groupe 3,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
52.0,21.0,14579.0,Homme,fondamental,marié,Rural,Groupe 3,Terrain,Drâa-Tafilalet,CDD,arab
40.0,3.0,20733.0,Homme,supérieur,célibataire,Urbain,Groupe 4,Terrain,Marrakech-Safi,CDD,arab
64.0,7.0,12575.0,Femme,sans niveau,marié,Urbain,Groupe 5,Terrain,Souss-Massa,CDD,arab
34.0,31.0,25606.0,Femme,sans niveau,célibataire,Urbain,Groupe 3,Logement,Béni Mellal-Khénifra,sans contrat,arab
63.0,19.0,9936.0,Homme,fondamental,divorcé,Rural,Groupe 5,Logement,Laâyoune-Sakia El Hamra,sans contrat,arab
24.0,8.0,6773.0,Femme,sans niveau,marié,Rural,Groupe 5,Logement,Fès-Meknès,CDD,arab
69.0,8.0,17416.0,Femme,sans niveau,marié,Urbain,Groupe 5,Terrain,Souss-Massa,sans contrat,arab
33.0,7.0,6308.0,Homme,fondamental,marié,Rural,Groupe 5,Terrain,L’Oriental,CDD,arab
57.0,7.0,11402.0,Femme,sans niveau,veuf,Rural,Groupe 3,Voiture,Fès-Meknès,CDI,arab
53.0,22.0,14564.0,Femme,secondaire,marié,Rural,Groupe 4,Voiture,Casablanca-Settat,sans contrat,arab
37.0,33.0,10081.0,Homme,sans niveau,marié,Rural,Groupe 6,Voiture,Marrakech-Safi,CDI,arab
41.0,22.0,70572.0,Homme,supérieur,marié,Urbain,Groupe 1,Logement,Casablanca-Settat,sans contrat,arab
64.0,12.0,23164.0,Homme,sans niveau,marié,Urbain,Groupe 3,Voiture,Dakhla-Oued Ed-Dahab,CDD,amazigh
22.0,39.0,18038.0,Femme,secondaire,marié,Rural,Groupe 4,Voiture,Rabat-Salé-Kénitra,CDD,amazigh
62.0,30.0,14342.0,Homme,sans niveau,célibataire,Rural,Groupe 4,Terrain,Casablanca-Settat,CDD,arab
23.0,25.0,19863.0,Femme,secondaire,célibataire,Urbain,Groupe 4,Terrain,Guelmim-Oued Noun,CDI,arab
45.0,33.0,13969.0,Homme,sans niveau,marié,Urbain,Groupe 6,Terrain,Guelmim-Oued Noun,CDD,amazigh
22.0,24.0,11555.0,Homme,sans niveau,veuf,Urbain,Groupe 6,Terrain,Casablanca-Settat,CDI,arab
66.0,5.0,8659.0,Femme,sans niveau,marié,Urbain,Groupe 6,Terrain,Souss-Massa,sans contrat,amazigh
56.0,0.0,16738.0,Femme,fondamental,marié,Urbain,Groupe 3,Voiture,Béni Mellal-Khénifra,CDI,arab
55.0,30.0,20108.0,Homme,fondamental,marié,Urbain,Groupe 4,Aucun,Laâyoune-Sakia El Hamra,CDI,arab
19.0,7.0,10813.0,Femme,sans niveau,marié,Urbain,Groupe 5,Aucun,L’Oriental,CDD,amazigh
60.0,23.0,42291.0,Homme,supérieur,célibataire,Rural,Groupe 1,Aucun,Laâyoune-Sakia El Hamra,CDD,arab
56.0,4.0,30410.0,Femme,sans niveau,marié,Urbain,Groupe 2,Terrain,L’Oriental,sans contrat,arab
38.0,6.0,15833.0,Homme,secondaire,marié,Urbain,Groupe 5,Logement,Souss-Massa,CDD,amazigh
57.0,29.0,20163.0,Homme,fondamental,marié,Urbain,Groupe 5,Voiture,Marrakech-Safi,sans contrat,arab
54.0,12.0,17416.0,Femme,sans niveau,marié,Urbain,Groupe 5,Aucun,Béni Mellal-Khénifra,sans contrat,arab
35.0,8.0,10173.0,Homme,sans niveau,marié,Urbain,Groupe 6,Voiture,Fès-Meknès,CDD,arab
65.0,25.0,20700.0,Homme,fondamental,marié,Urbain,Groupe 4,Voiture,Laâyoune-Sakia El Hamra,CDI,amazigh
63.0,11.0,21025.0,Femme,sans niveau,célibataire,Rural,Groupe 1,Aucun,Béni Mellal-Khénifra,sans contrat,arab
29.0,23.0,16121.0,Femme,secondaire,marié,Urbain,Groupe 5,Aucun,Casablanca-Settat,CDI,arab
34.0,42.0,18686.0,Homme,supérieur,marié,Urbain,Groupe 6,Terrain,Casablanca-Settat,CDI,arab
54.0,18.0,38460.0,Femme,sans niveau,célibataire,Urbain,Groupe 2,Logement,Laâyoune-Sakia El Hamra,CDI,amazigh
63.0,14.0,10691.0,Homme,sans niveau,célibataire,Rural,Groupe 4,Logement,Rabat-Salé-Kénitra,CDD,arab
55.0,26.0,59476.0,Homme,sans niveau,marié,Urbain,Groupe 1,Logement,Souss-Massa,sans contrat,arab
32.0,1.0,4883.0,Femme,fondamental,célibataire,Rural,Groupe 4,Aucun,L’Oriental,CDI,arab
24.0,20.0,14437.0,Homme,sans niveau,divorcé,Rural,Groupe 3,Logement,Casablanca-Settat,CDI,arab
31.0,1.0,15695.0,Homme,supérieur,marié,Urbain,Groupe 5,Aucun,Fès-Meknès,CDD,amazigh
67.0,15.0,11220.0,Homme,secondaire,marié,Rural,Groupe 4,Aucun,Drâa-Tafilalet,sans contrat,arab
18.0,9.0,10644.0,Homme,supérieur,marié,Rural,Groupe 5,Voiture,Guelmim-Oued Noun,CDI,arab
55.0,18.0,39987.0,Homme,fondamental,marié,Urbain,Groupe 2,Voiture,Laâyoune-Sakia El Hamra,CDD,arab
20.0,37.0,19868.0,Femme,sans niveau,marié,Urbain,Groupe 5,Voiture,Rabat-Salé-Kénitra,CDD,arab
54.0,37.0,22655.0,Femme,fondamental,marié,Urbain,Groupe 4,Logement,Drâa-Tafilalet,CDI,arab
61.0,9.0,14060.0,Homme,fondamental,marié,Urbain,Groupe 4,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,arab
48.0,0.0,31890.0,Femme,secondaire,marié,Urbain,Groupe 2,Terrain,Marrakech-Safi,CDD,arab
60.0,19.0,12357.0,Femme,secondaire,marié,Rural,Groupe 5,Voiture,L’Oriental,CDI,arab
30.0,36.0,17622.0,Femme,fondamental,marié,Rural,Groupe 3,Terrain,Dakhla-Oued Ed-Dahab,CDI,arab
65.0,46.0,11175.0,Femme,sans niveau,marié,Rural,Groupe 6,Terrain,Rabat-Salé-Kénitra,CDD,arab
35.0,6.0,15711.0,Homme,sans niveau,marié,Urbain,Groupe 4,Voiture,Rabat-Salé-Kénitra,CDD,arab
34.0,33.0,16572.0,Femme,secondaire,marié,Rural,Groupe 4,Voiture,Drâa-Tafilalet,CDD,arab
34.0,3.0,5452.0,Femme,fondamental,marié,Rural,Groupe 4,Aucun,Béni Mellal-Khénifra,CDD,arab
28.0,47.0,20352.0,Femme,fondamental,marié,Urbain,Groupe 5,Logement,Fès-Meknès,CDI,arab
37.0,22.0,9433.0,Femme,sans niveau,marié,Rural,Groupe 5,Aucun,Souss-Massa,CDI,arab
27.0,9.0,15070.0,Femme,secondaire,marié,Urbain,Groupe 5,Voiture,Souss-Massa,CDD,arab
46.0,4.0,36307.0,Femme,secondaire,célibataire,Urbain,Groupe 2,Voiture,Casablanca-Settat,sans contrat,arab
65.0,29.0,32182.0,Homme,sans niveau,marié,Urbain,Groupe 3,Voiture,Marrakech-Safi,CDD,arab
51.0,40.0,15305.0,Femme,fondamental,célibataire,Rural,Groupe 5,Voiture,Marrakech-Safi,sans contrat,arab
34.0,27.0,11370.0,Femme,fondamental,marié,Urbain,Groupe 6,Logement,Guelmim-Oued Noun,sans contrat,arab
69.0,4.0,6422.0,Femme,fondamental,célibataire,Rural,Groupe 4,Terrain,Laâyoune-Sakia El Hamra,sans contrat,arab
59.0,17.0,23100.0,Femme,fondamental,marié,Urbain,Groupe 3,Voiture,Casablanca-Settat,CDD,amazigh
30.0,42.0,17416.0,Homme,sans niveau,marié,Rural,Groupe 4,Logement,Souss-Massa,sans contrat,arab
61.0,38.0,11233.0,Homme,sans niveau,marié,Rural,Groupe 6,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
64.0,19.0,8583.0,Femme,fondamental,marié,Rural,Groupe 5,Aucun,Dakhla-Oued Ed-Dahab,CDD,arab
56.0,33.0,15140.0,Femme,sans niveau,célibataire,Urbain,Groupe 6,Voiture,Drâa-Tafilalet,sans contrat,amazigh
44.0,38.0,31564.0,Femme,sans niveau,marié,Rural,Groupe 2,Terrain,Souss-Massa,CDD,arab
43.0,47.0,16006.0,Femme,fondamental,célibataire,Rural,Groupe 5,Logement,Béni Mellal-Khénifra,sans contrat,amazigh
45.0,25.0,13049.0,Homme,sans niveau,marié,Rural,Groupe 4,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
30.0,28.0,11503.0,Femme,sans niveau,marié,Urbain,Groupe 6,Terrain,Marrakech-Safi,CDI,arab
29.0,19.0,32937.0,Homme,fondamental,célibataire,Urbain,Groupe 2,Terrain,Rabat-Salé-Kénitra,CDI,arab
61.0,29.0,53400.0,Homme,supérieur,marié,Urbain,Groupe 2,Aucun,Drâa-Tafilalet,CDD,arab
45.0,27.0,12985.0,Femme,secondaire,célibataire,Rural,Groupe 5,Logement,Fès-Meknès,CDI,arab
19.0,11.0,17416.0,Femme,sans niveau,marié,Urbain,Groupe 3,Terrain,Dakhla-Oued Ed-Dahab,CDD,arab
54.0,14.0,9942.0,Homme,fondamental,marié,Rural,Groupe 4,Terrain,Béni Mellal-Khénifra,sans contrat,arab
51.0,42.0,45502.0,Femme,fondamental,célibataire,Urbain,Groupe 2,Terrain,Béni Mellal-Khénifra,CDI,arab
40.0,16.0,10041.0,Homme,sans niveau,marié,Rural,Groupe 5,Voiture,Marrakech-Safi,CDD,arab
69.0,27.0,18612.0,Femme,sans niveau,marié,Urbain,Groupe 4,Aucun,Fès-Meknès,CDI,arab
62.0,32.0,14260.0,Femme,sans niveau,marié,Rural,Groupe 4,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
46.0,7.0,11548.0,Femme,fondamental,marié,Urbain,Groupe 5,Terrain,Tanger-Tétouan-Al Hoceïma,CDD,arab
52.0,38.0,43385.0,Femme,secondaire,veuf,Rural,Groupe 1,Aucun,Guelmim-Oued Noun,CDD,arab
28.0,43.0,42967.0,Homme,fondamental,célibataire,Rural,Groupe 1,Terrain,Béni Mellal-Khénifra,sans contrat,arab
65.0,19.0,27289.0,Femme,supérieur,célibataire,Rural,Groupe 2,Logement,Fès-Meknès,CDI,arab
50.0,20.0,10837.0,Femme,sans niveau,marié,Rural,Groupe 4,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab
68.0,29.0,37493.0,Femme,supérieur,veuf,Urbain,Groupe 3,Logement,L’Oriental,CDI,arab
28.0,12.0,11460.0,Homme,fondamental,marié,Rural,Groupe 3,Voiture,Casablanca-Settat,CDI,amazigh
26.0,39.0,12649.0,Femme,sans niveau,marié,Urbain,Groupe 6,Aucun,Béni Mellal-Khénifra,CDI,amazigh
31.0,17.0,13674.0,Homme,supérieur,marié,Urbain,Groupe 6,Aucun,Rabat-Salé-Kénitra,sans contrat,amazigh
26.0,12.0,17190.0,Homme,fondamental,marié,Rural,Groupe 2,Voiture,Rabat-Salé-Kénitra,CDI,arab
56.0,22.0,12045.0,Femme,sans niveau,marié,Urbain,Groupe 6,Terrain,Souss-Massa,CDD,arab
65.0,6.0,14637.0,Homme,sans niveau,célibataire,Urbain,Groupe 4,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,arab
20.0,41.0,14899.0,Femme,sans niveau,marié,Urbain,Groupe 6,Voiture,Casablanca-Settat,sans contrat,arab
46.0,26.0,33600.0,Femme,supérieur,célibataire,Urbain,Groupe 3,Aucun,Laâyoune-Sakia El Hamra,sans contrat,arab
36.0,43.0,17501.0,Femme,sans niveau,célibataire,Rural,Groupe 4,Logement,Casablanca-Settat,CDI,arab
53.0,46.0,43920.0,Homme,supérieur,célibataire,Rural,Groupe 2,Terrain,L’Oriental,sans contrat,arab
49.0,30.0,9086.0,Homme,sans niveau,célibataire,Rural,Groupe 6,Terrain,Marrakech-Safi,sans contrat,arab
24.0,4.0,16645.0,Homme,sans niveau,célibataire,Urbain,Groupe 3,Terrain,Guelmim-Oued Noun,CDI,arab
45.0,15.0,15657.0,Femme,sans niveau,marié,Urbain,Groupe 4,Aucun,Casablanca-Settat,sans contrat,arab
61.0,38.0,17609.0,Femme,fondamental,célibataire,Urbain,Groupe 5,Aucun,Tanger-Tétouan-Al Hoceïma,CDI,amazigh
35.0,23.0,23658.0,Homme,sans niveau,marié,Rural,Groupe 2,Logement,Casablanca-Settat,CDI,arab
22.0,37.0,43478.0,Homme,secondaire,marié,Rural,Groupe 1,Terrain,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
40.0,13.0,8691.0,Femme,sans niveau,marié,Rural,Groupe 4,Aucun,Souss-Massa,CDD,arab
39.0,30.0,23600.0,Homme,secondaire,marié,Urbain,Groupe 4,Terrain,Souss-Massa,CDI,arab
43.0,32.0,9138.0,Femme,secondaire,marié,Rural,Groupe 6,Aucun,Souss-Massa,sans contrat,amazigh
59.0,32.0,42747.0,Femme,sans niveau,célibataire,Rural,Groupe 1,Voiture,Béni Mellal-Khénifra,CDI,arab
29.0,5.0,41169.0,Homme,secondaire,célibataire,Urbain,Groupe 1,Aucun,Béni Mellal-Khénifra,CDD,amazigh
57.0,36.0,24650.0,Femme,secondaire,veuf,Urbain,Groupe 5,Voiture,Laâyoune-Sakia El Hamra,sans contrat,amazigh
36.0,10.0,7297.0,Femme,fondamental,marié,Rural,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,amazigh
64.0,20.0,22008.0,Homme,fondamental,célibataire,Urbain,Groupe 3,Terrain,Marrakech-Safi,CDD,arab
18.0,27.0,35205.0,Homme,fondamental,célibataire,Urbain,Groupe 2,Aucun,Drâa-Tafilalet,sans contrat,arab
20.0,12.0,16354.0,Homme,secondaire,marié,Urbain,Groupe 5,Logement,Souss-Massa,sans contrat,arab
44.0,10.0,7462.0,Femme,sans niveau,célibataire,Rural,Groupe 5,Terrain,Drâa-Tafilalet,CDD,arab
35.0,21.0,10155.0,Femme,sans niveau,marié,Urbain,Groupe 6,Aucun,Guelmim-Oued Noun,CDI,arab
67.0,25.0,14292.0,Homme,sans niveau,marié,Rural,Groupe 4,Voiture,Marrakech-Safi,CDD,arab
47.0,5.0,25074.0,Femme,fondamental,veuf,Urbain,Groupe 2,Logement,Béni Mellal-Khénifra,CDD,arab
19.0,4.0,34705.0,Homme,sans niveau,célibataire,Urbain,Groupe 1,Aucun,Laâyoune-Sakia El Hamra,sans contrat,amazigh
22.0,49.0,24631.0,Femme,sans niveau,marié,Rural,Groupe 3,Voiture,Drâa-Tafilalet,CDI,amazigh
46.0,42.0,21329.0,Femme,fondamental,veuf,Rural,Groupe 3,Logement,Laâyoune-Sakia El Hamra,CDI,amazigh
50.0,40.0,13910.0,Femme,sans niveau,célibataire,Urbain,Groupe 6,Aucun,Casablanca-Settat,sans contrat,arab
59.0,17.0,15063.0,Femme,sans niveau,célibataire,Rural,Groupe 3,Voiture,Dakhla-Oued Ed-Dahab,CDI,amazigh
37.0,26.0,7720.0,Femme,fondamental,célibataire,Rural,Groupe 6,Logement,L’Oriental,CDI,amazigh
47.0,18.0,14065.0,Homme,secondaire,marié,Urbain,Groupe 6,Logement,Souss-Massa,CDD,amazigh
59.0,38.0,16381.0,Homme,sans niveau,marié,Rural,Groupe 5,Voiture,Casablanca-Settat,CDD,amazigh
22.0,29.0,41328.0,Femme,sans niveau,marié,Urbain,Groupe 2,Voiture,Drâa-Tafilalet,CDI,arab
67.0,0.0,40833.0,Homme,sans niveau,marié,Urbain,Groupe 1,Voiture,Rabat-Salé-Kénitra,sans contrat,arab
38.0,32.0,65845.0,Homme,secondaire,marié,Urbain,Groupe 1,Logement,Laâyoune-Sakia El Hamra,CDI,arab
32.0,36.0,39131.0,Femme,fondamental,marié,Rural,Groupe 1,Logement,Casablanca-Settat,CDI,arab
37.0,17.0,9609.0,Femme,sans niveau,veuf,Rural,Groupe 5,Voiture,Rabat-Salé-Kénitra,sans contrat,arab
25.0,44.0,24776.0,Femme,secondaire,marié,Urbain,Groupe 4,Terrain,Casablanca-Settat,sans contrat,amazigh
66.0,14.0,6682.0,Homme,sans niveau,célibataire,Rural,Groupe 6,Logement,Marrakech-Safi,sans contrat,arab
48.0,30.0,23965.0,Homme,sans niveau,célibataire,Urbain,Groupe 4,Voiture,Guelmim-Oued Noun,CDD,amazigh
29.0,18.0,15525.0,Homme,sans niveau,marié,Urbain,Groupe 5,Logement,Guelmim-Oued Noun,sans contrat,amazigh
38.0,40.0,21325.0,Femme,sans niveau,marié,Urbain,Groupe 5,Voiture,Souss-Massa,sans contrat,arab
47.0,17.0,20255.0,Femme,fondamental,marié,Rural,Groupe 2,Voiture,Tanger-Tétouan-Al Hoceïma,CDD,arab
44.0,36.0,45159.0,Femme,fondamental,divorcé,Urbain,Groupe 2,Voiture,Béni Mellal-Khénifra,CDD,arab
61.0,21.0,17416.0,Femme,sans niveau,marié,Urbain,Groupe 1,Voiture,Souss-Massa,CDD,arab
43.0,29.0,13416.0,Femme,fondamental,célibataire,Rural,Groupe 4,Logement,Béni Mellal-Khénifra,CDI,amazigh
50.0,49.0,25566.0,Homme,fondamental,veuf,Urbain,Groupe 4,Terrain,Guelmim-Oued Noun,CDI,arab
43.0,37.0,14286.0,Homme,fondamental,marié,Urbain,Groupe 6,Logement,Fès-Meknès,sans contrat,amazigh
43.0,13.0,24095.0,Homme,fondamental,célibataire,Rural,Groupe 1,Logement,Béni Mellal-Khénifra,CDD,arab
53.0,28.0,14063.0,Femme,sans niveau,marié,Urbain,Groupe 6,Voiture,Dakhla-Oued Ed-Dahab,sans contrat,arab
57.0,36.0,14275.0,Femme,secondaire,marié,Rural,Groupe 5,Aucun,Casablanca-Settat,CDD,arab
18.0,39.0,18665.0,Homme,supérieur,marié,Urbain,Groupe 6,Logement,L’Oriental,CDD,amazigh
32.0,37.0,40152.0,Homme,fondamental,veuf,Urbain,Groupe 2,Aucun,Dakhla-Oued Ed-Dahab,CDD,arab
67.0,2.0,4042.0,Femme,fondamental,célibataire,Rural,Groupe 6,Voiture,Souss-Massa,sans contrat,arab
18.0,43.0,67073.0,Homme,sans niveau,célibataire,Urbain,Groupe 1,Voiture,Casablanca-Settat,sans contrat,arab
28.0,13.0,13504.0,Femme,supérieur,divorcé,Rural,Groupe 3,Aucun,Dakhla-Oued Ed-Dahab,CDD,arab
19.0,8.0,17076.0,Homme,supérieur,célibataire,Urbain,Groupe 5,Aucun,Casablanca-Settat,sans contrat,arab
18.0,43.0,19870.0,Homme,secondaire,marié,Rural,Groupe 4,Voiture,L’Oriental,CDD,arab
48.0,22.0,7393.0,Homme,sans niveau,célibataire,Rural,Groupe 6,Aucun,Tanger-Tétouan-Al Hoceïma,CDD,arab
61.0,20.0,15415.0,Homme,supérieur,marié,Urbain,Groupe 6,Aucun,Fès-Meknès,CDI,arab
33.0,26.0,37064.0,Femme,sans niveau,marié,Urbain,Groupe 2,Terrain,Casablanca-Settat,CDD,amazigh
39.0,37.0,18672.0,Femme,fondamental,célibataire,Urbain,Groupe 5,Logement,Casablanca-Settat,sans contrat,arab
59.0,18.0,14990.0,Femme,fondamental,célibataire,Urbain,Groupe 5,Terrain,Souss-Massa,CDD,amazigh
35.0,43.0,15756.0,Homme,secondaire,divorcé,Urbain,Groupe 6,Aucun,Dakhla-Oued Ed-Dahab,CDI,arab
64.0,42.0,38504.0,Femme,secondaire,marié,Urbain,Groupe 3,Voiture,L’Oriental,CDI,arab
34.0,39.0,17328.0,Homme,secondaire,célibataire,Urbain,Groupe 6,Voiture,Rabat-Salé-Kénitra,CDD,arab
47.0,26.0,40369.0,Femme,secondaire,célibataire,Rural,Groupe 1,Voiture,Béni Mellal-Khénifra,sans contrat,arab
27.0,3.0,7745.0,Homme,fondamental,marié,Urbain,Groupe 6,Logement,Casablanca-Settat,CDI,arab
52.0,20.0,7576.0,Femme,secondaire,marié,Rural,Groupe 6,Aucun,Casablanca-Settat,CDD,arab
38.0,7.0,14704.0,Femme,sans niveau,célibataire,Rural,Groupe 2,Logement,Souss-Massa,CDD,amazigh
33.0,17.0,44187.0,Homme,fondamental,marié,Urbain,Groupe 1,Logement,L’Oriental,CDD,arab
23.0,46.0,45039.0,Femme,sans niveau,célibataire,Rural,Groupe 1,Terrain,Fès-Meknès,sans contrat,arab
20.0,39.0,17817.0,Homme,supérieur,marié,Urbain,Groupe 6,Terrain,Marrakech-Safi,sans contrat,arab
58.0,41.0,17416.0,Homme,sans niveau,marié,Urbain,Groupe 4,Terrain,Rabat-Salé-Kénitra,CDI,arab
60.0,28.0,13950.0,Homme,sans niveau,célibataire,Rural,Groupe 5,Voiture,Tanger-Tétouan-Al Hoceïma,sans contrat,arab
38.0,43.0,17416.0,Femme,sans niveau,marié,Rural,Groupe 5,Aucun,Drâa-Tafilalet,sans contrat,arab
30.0,3.0,11443.0,Femme,sans niveau,marié,Urbain,Groupe 5,Voiture,Souss-Massa,CDI,arab
35.0,39.0,59873.0,Femme,sans niveau,célibataire,Urbain,Groupe 1,Logement,Drâa-Tafilalet,sans contrat,arab
41.0,49.0,67729.0,Femme,fondamental,marié,Urbain,Groupe 1,Voiture,L’Oriental,CDD,arab
44.0,27.0,17693.0,Femme,sans niveau,marié,Rural,Groupe 3,Voiture,Marrakech-Safi,sans contrat,arab
21.0,37.0,14135.0,Homme,sans niveau,marié,Rural,Groupe 5,Logement,L’Oriental,CDD,arab
39.0,5.0,12095.0,Femme,fondamental,célibataire,Urbain,Groupe 4,Terrain,Drâa-Tafilalet,sans contrat,arab
41.0,30.0,20896.0,Femme,sans niveau,marié,Urbain,Groupe 4,Logement,Guelmim-Oued Noun,sans contrat,arab
57.0,3.0,15578.0,Femme,fondamental,marié,Urbain,Groupe 3,Aucun,Fès-Meknès,sans contrat,amazigh
62.0,13.0,9117.0,Homme,sans niveau,marié,Rural,Groupe 5,Logement,Guelmim-Oued Noun,CDI,amazigh
27.0,25.0,16860.0,Homme,secondaire,marié,Rural,Groupe 3,Terrain,Marrakech-Safi,sans contrat,arab
19.0,7.0,7752.0,Homme,fondamental,marié,Rural,Groupe 4,Voiture,Tanger-Tétouan-Al Hoceïma,CDI,arab
57.0,0.0,7170.0,Homme,secondaire,célibataire,Rural,Groupe 5,Aucun,Souss-Massa,CDD,arab
